texto,produto,fonte_promocao,aspecto,aspecto_detectado,sentimento_aspecto,sentimento_previsto,fonte_classificacao,absa_resultado,absa_correto
"Produto de muito boa qualidade, ótimo acabamento, cor igual a do anúncio, volume super bom, dura muito a bateria, e é super confortável. Veio muito bem embalado e chegou bem antes do prazo.",E6S TWS Bluetooth,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
Som alto muito bom ótima qualidade veio com 96 porcento de bateria bem embalado vem com cabo de carregador ótimo amei!!!!!!!,E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Muito bom! O som é alto e de qualidade. Dá pra ouvir muito bem os graves e médios. Bateria durou umas 2 horas.,E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Veio a cor certa que eu pedi, volume bom e entrega rápida, indico pois vale muito o preço e qualidade",E6S TWS Bluetooth,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"O fone é muito bom, volume alto e pelo preço incrível recomendo",E6S TWS Bluetooth,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Muito bom, qualidade, volume, pelo preços é muito bom. Super indico a compra!",E6S TWS Bluetooth,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Muito bom, alcança longas distâncias sem travar. Som de boa qualidade e material muito bom também.",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
O fone é excelente!! Veio com um cabo pra carregar. A qualidade do som é boa e bastante alta recomendo!,E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Foi com certeza uma ótima compra. O fone é lindo, o som é limpo e alto, super valeu o custo benefício e chegou dentro do prazo.",E6S TWS Bluetooth,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
Veio certinho amei o fone vem com o cabo carregador. Já testei e está funcionando normalmente. Recomendo o custo benefício é ótimo,E6S TWS Bluetooth,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Muito bem embalado, som ótimo, chegou no prazo e ainda veio 100% de bateria.",E6S TWS Bluetooth,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
Esses fones são muito bom. Tem o som ótimo. Parabéns a loja e ao entregador também.,E6S TWS Bluetooth,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
Entrega super rápida! Em perfeito funcionamento e bem embalado. Ótimo custo benefício.,E6S TWS Bluetooth,Double Date,entrega,preço,positivo,positivo,lexico,preço:positivo,False
"Os fones são excelentes, volume bom e entrega rápida.",E6S TWS Bluetooth,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
O fone é muito bom o som é bem forte e chegou rápido,E6S TWS Bluetooth,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
veio em ótimo estado e com a bateria quase completa. o som é de boa qualidade e bem alto. vou comprar mais!,E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"O fone é bom, som alto e claro, bateria dura bastante! É um objeto delicado então tem que tomar muito cuidado pra não derrubar no chão, fora isso, amei.",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Recomendo demais! fones bonitos e bons, durabilidade muito boa e vem todos perfeitinhos!",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Chegou dentro do prazo. Bem embalado. Funcionando perfeitamente, material bom, fácil manuseio. Recomendo a compra!",E6S TWS Bluetooth,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
Perfeito. Já veio carregado. Ótimo custo benefício. Funciona bem.,E6S TWS Bluetooth,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Muitooo bom, o som é ótimo, bem limpo, o grave e muito bom, é alto, veio funcionando perfeitamente e muito bem embalado. Recomendo e compraria novamente.",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Eu recomendo o produto. Gostei muito dos fones, tem boa duração e o bom som.",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Ótimo custo-benefício, a bateria dura bastante e o som não é ruim, veio certinho.",E6S TWS Bluetooth,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Muito bommm! o audio é perfeito, chegou bem antes do esperado só que não chegou em casa tive que buscar nos correios...tirando isso o produto é perfeito!",E6S TWS Bluetooth,Double Date,entrega,entrega,neutro,positivo,lexico,entrega:positivo,False
Muito bom fones podem compra sem medo chega tudo certinho parabéns para o vendedor,E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Chegou e testei o produto, os fones estão funcionando normalmente, o volume não muito alto, pelo custo benefício vale muito a pena adquirir o produto.",E6S TWS Bluetooth,Double Date,preço,qualidade,positivo,positivo,lexico,qualidade:positivo,False
"Adorei minha compra! Vale super a pena. O fone veio super bem embalado e ainda veio com bateria para poder testá-lo, funcionando perfeitamente e a cor é linda!",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"O fone veio bem embalado e é muito bonito, ele é de um material mt bom e a caixinha é mt segura, chegou quase uma semana antes do prazo, vale mtt a pena!!",E6S TWS Bluetooth,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Ótimo custo benefício, reduz o som ao redor, altura ótima, super confortável, muito bom, super recomendo",E6S TWS Bluetooth,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Muito bom o fone, funcionando perfeitamente, o som também e bom!",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Amei, a cor é linda, veio bem embalado, o som é bem alto e é fácil de mexer",E6S TWS Bluetooth,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Veio certinho, a qualidade do som fica boa e é bem alto, o detalhe em mostrar a porcentagem de bateria da caixinha é bem interessante.",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Muito bom o produto, chegou antes do prazo e também funciona perfeitamente.",E6S TWS Bluetooth,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Entrega rápida, veio em perfeito estado, pelo preço está ótimo.",E6S TWS Bluetooth,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Amei o fone! Entregaram antes do prazo. Podem comprar. O som em si é alto, gosto disso.",E6S TWS Bluetooth,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Ótimo fone, alta qualidade sonora, o vendedor enviou em um dia, chegou mais de 5 dias antes do prazo, a única crítica é o cabo dele, deveria ser mais grande, mas pela qualidade do produto por esse valor, está excelente!",E6S TWS Bluetooth,Double Date,qualidade,entrega,neutro,positivo,lexico,entrega:positivo,False
"Chegou super rápido e a qualidade é boa, vale o custo benefício.",E6S TWS Bluetooth,Double Date,preço,preço,positivo,positivo,lexico,preço:positivo,True
"Ameii, o fone chegou antes do prazo, ele é perfeito, além de vim com o cabo USB ele é super alto e carrega muito rápido recomendo demais",E6S TWS Bluetooth,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Adorei o fone! Chegou 2 dias antes do prazo de entrega, gostei que veio na cor certa e veio carregado em 100% e o som é bem alto, porém, achei a caixinha do fone meio vagabunda, mas, foi barato então não tem nem como falar nada",E6S TWS Bluetooth,Double Date,preço,entrega,neutro,positivo,lexico,entrega:positivo,False
"Muito bom, ótima qualidade, chegou do jeito que pedi e chegou antes do prazo, o volume dele e bom",E6S TWS Bluetooth,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Os fones são de ótima qualidade, som muito bom e o fato de existir um counter da bateria ajuda muito!",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Eu amei, veio bem embalado com bateria, o som é bem auto e n vaza o som pra outra pessoa ouvir, vem com o cabo pra carregar também",E6S TWS Bluetooth,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Chegou antes do prazo. Gostei bastante, o som é bem alto e não demora muito para carregar, compraria novamente!",E6S TWS Bluetooth,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Som bom, não é muito alto. Bluetooth. Não é grandão nem muito pequeno. Para minha orelha, achei grande. Cor viva. Veio um cabo branco, fino USB para conectar no carregador.",E6S TWS Bluetooth,Double Date,qualidade,qualidade,neutro,neutro,lexico,qualidade:neutro,True
"O videogame está funcionando perfeitamente gostei muito do videogame valeu. O jogo não gostei, mas eu vi que era aleatório. O controle do vídeo game veio com um defeito nos 2 botões de start e select",PS4 Slim,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
"O vendedor enviou bem rápido, só que estava falando que é de 1tb. Só que não o vendedor mandou um a HD, tive um pouco de problema com o controle.",PS4 Slim,Double Date,qualidade,entrega,negativo,positivo,lexico,entrega:positivo,False
"O console está rodando o game bem, os controles está ótimo, ele esquenta um pouco mas faz um barulho mas não incomoda tanto, meu problema com o produto foram é que as entradas dos cabos vieram sujas, os controles vierem sem nenhum tipo de proteção, além do console vim com uns arranhões e um problema no plástico de um dos controles, mas nada que intervirá na experiência",PS4 Slim,Double Date,qualidade,qualidade,neutro,neutro,lexico,qualidade:neutro,True
"Ele chegou antes do prazo, testei o jogo que veio mas depois que estava jogando apareceu que o jogo estava com problema. Mas o ps4 parece estar ótimo.",PS4 Slim,Double Date,qualidade,entrega,neutro,positivo,lexico,entrega:positivo,False
"Produto em perfeito estado, funcionando perfeitamente, adorei o controle porem o touchpad não funciona, parabéns para o vendedor.",PS4 Slim,Double Date,qualidade,qualidade,negativo,positivo,lexico,qualidade:positivo,False
"Muito bom, veio jogo, só n dou 5 estrela, pq na descrição dis q vem a caixa do vídeo game. E não veio, e tbm o jogo veio com o CD dentro do console, e n veio a própria capinha, coisa q ainda n tenho, mais é muito bom, e está pegando normalmente",PS4 Slim,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
Chegou super rápido porém um dos controles não funciona e o HD e externo,PS4 Slim,Double Date,qualidade,entrega,negativo,positivo,lexico,entrega:positivo,False
"O video game chegou e super aprovado, só demorou um pouquinho pra ser postado, mais nada demais",PS4 Slim,Double Date,entrega,entrega,neutro,negativo,lexico,entrega:negativo,False
Somente 1 controle nao veio carregando e o cabo de alimentação veio trocado. Estou aguardando a resposta do vendedor no WhatsApp,PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,bertimbau,qualidade:negativo,True
"Chegou bastante atrasado, está em ótimo estado, porém, só tenho a reclamar da entrega, já faz quase 2 meses",PS4 Slim,Double Date,entrega,entrega,negativo,neutro,lexico,entrega:neutro,False
"Veio muito bem embalado porém muito amassado e furado mas acho que deve ter sido na transportação, está funcionando muito bem até agora né porém está esquentando muito e fazendo muito barulho acho que não foi feita a troca da pasta térmica e mas é um ótimo produto recomendo",PS4 Slim,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
"O console funciona bem, o problema foram os cabos, hdmi e de carregar o controle não funcionaram, precisei comprar novos.",PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,bertimbau,qualidade:negativo,True
"Video game muito bom, demourou um puco mas chegou tudo certinho RECOMENDO",PS4 Slim,Double Date,entrega,entrega,neutro,positivo,lexico,entrega:positivo,False
Gostei da compra mais não vem com a memória mencionada vem apenas 400 GB de memória,PS4 Slim,Double Date,qualidade,qualidade,negativo,positivo,lexico,qualidade:positivo,False
Game conservado tudo funcionando só não veio jogo q vendedor falou q mandaria,PS4 Slim,Double Date,qualidade,qualidade,negativo,positivo,bertimbau,qualidade:positivo,False
"O console veio em perfeito estado, pegando tudo direitinho bem conservado, bem limpinho e super silencioso, mas ele não veio com cabo de carregamento do controle, e sim de iPhone e o jogo que veio sem a capa, por isso estou dando 4 estrelas.",PS4 Slim,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
Gostei sim do vídeo game so que ficou faltando o cabo hdmi.,PS4 Slim,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
"Tudo ok. Veio tudo como prometido, menos o jogo que aparecia no anúncio. Porém é um produto excelente. Recomendo",PS4 Slim,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
"Qualidade bom, os controles não são Tão bom um não carrega mas o outro funciona. Conservação: estava limpo quando recebi",PS4 Slim,Double Date,qualidade,qualidade,negativo,positivo,lexico,qualidade:positivo,False
"Funciona muito bem. Poucas marcas de uso. Um ponto negativo foi o controle que ficava desconectado. E só funciona pelo cabo. Mas basta comprar um cabo original para resolver, 8/10",PS4 Slim,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
"Ótimo produto, seminovo, o problema é que veio um pouco sujo",PS4 Slim,Double Date,qualidade,qualidade,neutro,neutro,lexico,qualidade:neutro,True
"Cabo da manete veio com defeito. Fora isso td perfeito, aparelho novíssimo",PS4 Slim,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
O controle não era original e ainda veio com o cabo ruim. Mas o console roda muito bem.,PS4 Slim,Double Date,qualidade,qualidade,neutro,neutro,lexico,qualidade:neutro,True
"Play station estava certinho, mais infelizmente o jogo que mandaram não veio funcionando",PS4 Slim,Double Date,qualidade,qualidade,negativo,positivo,lexico,qualidade:positivo,False
os controles vieram um original e o outro paralelo. e o original veio com defeito no botão.,PS4 Slim,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
"Chegou tudo certinho, mas o controle veio arranhado, o console com algumas marcas.",PS4 Slim,Double Date,qualidade,entrega,negativo,negativo,bertimbau,entrega:negativo,False
"Demorou um pouco para enviar, mais chegou tudo certo, irei testar",PS4 Slim,Double Date,entrega,entrega,neutro,negativo,lexico,entrega:negativo,False
"Muito bom, mas o problema e q veio com 500gb e no anúncio dis 1tb",PS4 Slim,Double Date,qualidade,qualidade,negativo,positivo,lexico,qualidade:positivo,False
"o 1 tb não é original do vídeo game, vem com um HD externo",PS4 Slim,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
Funciona normalmente. Mais os controles nao são bons.,PS4 Slim,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
1 controle é pirata,PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,bertimbau,qualidade:negativo,True
Veio tudo certo só um controle que não tá funcionando e não é original Só por isso eu dei 4 estrela mais chegou tudo certinho o play tá ótimo,PS4 Slim,Double Date,qualidade,qualidade,negativo,positivo,lexico,qualidade:positivo,False
Cabo para carregar o controle está com defeito ou controle vou ver,PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
Tudo muito bem embalado bem protegido funcionando normal a entrega foi rápida entregaram tudo que prometeram só o HD que veio com uma mancha mas creio que isso não interferir nada,PS4 Slim,Double Date,qualidade,entrega,neutro,positivo,lexico,entrega:positivo,False
"Chegou no prazo, Porém no anúncio disse que era de 1T, mas é só de 500 GB e um HD de 500 GB. Sobre o jogo é razoável, mas tinha feito um pedido, mas ok, vou jogar e testar..",PS4 Slim,Double Date,qualidade,entrega,negativo,neutro,lexico,entrega:neutro,False
"Tudo bem embalado, menos o jogo, mal embalado e danificado, limpei o disco mas não adiantou, não deu certo, fora isso tudo certo",PS4 Slim,Double Date,qualidade,entrega,negativo,positivo,lexico,entrega:positivo,False
"Chegou tudo quase certo, console muito novo e bonito, mais infelizmente um dos controles não está funcionando, mais de resto está ok!",PS4 Slim,Double Date,qualidade,qualidade,negativo,positivo,lexico,qualidade:positivo,False
"Ótima qualidade, controle descarrega rápido mas parece iPhone de tanto que descarrega. Conservação estava ótimo",PS4 Slim,Double Date,qualidade,entrega,neutro,positivo,lexico,entrega:positivo,False
"Estamos adorando no primeiro PS!! veio completamente protegido e tudo está em bom estado e bem conservado. Ponto negativo: veio com o cabo de alimentação errado, então foi comprado o cabo certo. Indico!",PS4 Slim,Double Date,qualidade,qualidade,neutro,neutro,lexico,qualidade:neutro,True
"O produto chegou antes do prazo só veio com as marcas de uso mas está funcionando. Uma pena que não consegui jogar o jogo, o CD veio sujo e com arranhões. Eu recomendo estou feliz pela minha nova aquisição",PS4 Slim,Double Date,qualidade,entrega,neutro,positivo,lexico,entrega:positivo,False
Tem 1 semana que comprei e até o momento está funcionando perfeitamente. O vendedor não deixou claro que era 500gb do próprio console e 500gb de um HD externo. O leitor as vezes não lê o CD de primeira. No geral valeu a pena a compra.,PS4 Slim,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
Comprei pra dar de presente testamos ontem está funcionando direitinho,PS4 Slim,Double Date,qualidade,qualidade,positivo,positivo,bertimbau,qualidade:positivo,True
"Essa é uma edição, o produto chegou rápido, porém dos itens somente os cabos estavam funcionando, após alguns dias o controle parou e o ps4 estava com HD corrompido, o controle não carrega e nem funciona msm a cabo",PS4 Slim,Double Date,qualidade,qualidade,negativo,positivo,lexico,qualidade:positivo,False
O ps4 parou de funcionar,PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
"Produto: Item com defeito/danificado. Essa compra é um misto de sensações. atendimento da loja totalmente seco. Foi um sacrifício pra me enviar o jogo que pedi. Quando o jogo chegou, veio em um plastiquinho. Não vem com a caixa do PS4, e o controle e o videogame vem com várias marcas de uso grosseiros. o vídeo game terei que desembolsar mais de 500 reais pra arrumar o leitor de disco. Veio com o controle com vício na bateria.",PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
"O jogo não quer rodar no vídeo game, o vídeo game veio numa caixa que não era compatível há caixa do playstation 4, o cd veio em um plástico, horrível.",PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
"Anúncio enganoso, Ps4 não é de 1TB e sim 500GB, controle veio com problema, vários comentários descrevendo o mesmo problema, não comprem nessa loja, anúncio enganoso.",PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,bertimbau,qualidade:negativo,True
"Infelizmente me mandaram um ps4 com 408,5 gb de armazenamento e jogo errado",PS4 Slim,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
Galera até chegou mas não indico nenhum pouco tem uma semana de uso já está no modo de segurança sendo sincero foi o pior produto q já comprei na shopee. Muito decepcionado msm vendo muitas avaliações positivas fui o sortudo de pegar o produto sucateado. *NAO COMPREM* *NAO COMPREM* *NAO COMPREM*,PS4 Slim,Double Date,qualidade,entrega,negativo,negativo,lexico,entrega:negativo,False
"NÃO CAIAM NO GOLPE DE COMPRAR NESSA LOJA!!!! O CONSOLE ESTAVA CHEIO DE MARCA DE ÁGUA, TIVE QUE PAGAR CARO PRA CONSERTAR. Nenhum controle tá conectando e o controle que veio tá com defeito e não carrega.",PS4 Slim,Double Date,qualidade,preço,negativo,negativo,lexico,preço:negativo,False
"Veio sem o sistema estalado, e um controle com defeito no áudio. voltei pra dizer, que pelo menos no meu eles não limparam, não fizeram o preventivo também.",PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
Eu não tive sorte infelizmente o meu veio bugado e controle não funcionando,PS4 Slim,Double Date,qualidade,qualidade,negativo,positivo,lexico,qualidade:positivo,False
"Testei o produto e está dando muitos defeitos, tanto no HD quanto em processamento de jogo em tudo e consegui gravar e tirar fotos pra comprovar, preciso fazer a devolução!",PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
"Não veio na caixa do PlayStation 4. Veio em uma caixa aleatória. A placa de internet não funciona, ainda veio uma versão dourada ridícula",PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,bertimbau,qualidade:negativo,True
"Não comprem antes de se informar, é usado, não recomendo",PS4 Slim,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
Não gostei veio com a parte de cima quebrado,PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
"Achei uma falta de responsabilidade com o consumidor, me realizei a compra de 1tera me mandar 1 de 500gb",PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,bertimbau,qualidade:negativo,True
O produto parrou de funcionar com dois dias de uso envio mensagem mas ainda aguardando um retorno com o endereço de envio para a garantia,PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,bertimbau,qualidade:negativo,True
Não gostei muito do PlayStation já que ele veio com HD corrompido,PS4 Slim,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
O produto veio quebrado sendo que eu paguei um valor de 1.900 reais. Não aconselho vocês a comprar nessa empresa eles não fala a verdade. Gente não recomendo vocês comprar produto sem saber qual o motivo da venda.,PS4 Slim,Double Date,qualidade,preço,negativo,negativo,lexico,preço:negativo,False
"O produto veio com defeito de HD corrompido e com o leitor danificado, o chat também só me enrola não quer me dar a garantia estou aq reclamando com desgosto porque desde que chegou no primeiro dia já estava lendo e travando quero minha garantia pois o produto chegou danificado",PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
"Produto: Baixa qualidade. Não comprem antes de se informar, é usado, não recomendo",PS4 Slim,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
Produto: Item com defeito/danificado,PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
Produto: Item com defeito/danificado,PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
um controle não carregava e o outro dois dias parou de funcionar. Produto: Item com defeito/danificado,PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
Item com marcas e sugeiras tipo oleo da pele ou suor na manete,PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,bertimbau,qualidade:negativo,True
Eu comprei com a opção d 2 controles mas só 1 esta funcionando,PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,bertimbau,qualidade:negativo,True
1 dos controles veio quebrado,PS4 Slim,Double Date,qualidade,qualidade,negativo,negativo,lexico,qualidade:negativo,True
"Comprei esse vídeo game e tenho uma coisa a dizer, perfeito, veio completamente protegido e tudo está em bom estado e bem conservado, única coisa que não veio foi o 1 terabyte prometido, porém achei irrelevante. (Edição: o controle original veio com problema na bateria, deixei descarregar o controle totalmente e botei para carregar, no outro dia fui tentar ligar e não carregou nada)",PS4 Slim,Double Date,qualidade,qualidade,neutro,positivo,lexico,qualidade:positivo,False
"Bom, o meu PS4 veio com defeito no disco, não está lendo jogos mídia física. não recomendo comprar esses tipos de coisas por aqui",PS4 Slim,Double Date,qualidade,qualidade,negativo,neutro,lexico,qualidade:neutro,False
"Infelizmente após 10 dias de uso o meu apresentou problemas, não quiz desligar no botão, tive que tirar da tomada, e após tentar ligar novamente NÃO LIGOU MAIS. Passou uns 3 dias sem ligar, após ligou novamente MAS O BOTÃO DE tirar o CD não funciona mais. já não quer LIGAR NOVAMENTE.",PS4 Slim,Double Date,qualidade,qualidade,negativo,positivo,lexico,qualidade:positivo,False
"Perfeito!!! Podem comprar sem medo. Chegou tudo certinho. Parabéns à loja, ótimo vendedor. Comprarei mais jogos futuramente.",PS4 Slim,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"chegou antes do prazo, tudo funcionando perfeitamente, bem embalado. recomendo muito",PS4 Slim,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Valeu cada centavo, meu esposo adorou o video game, foi um presente meu pra ele de aniversário, veio super bem embalado, com todos acessórios, tudo funcionando perfeitamente, pelo contrário, só elogios, recomendo a loja, postaram rápido, chegou rapido na minha cidade, foram atenciosos no chat",PS4 Slim,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"O Playstation chegou antes do prazo, muito bem embalado. Eu pesquisei muito antes de efetuar compra, a loja correspondente muito bem as expectativas, atenciosos e com um produto de excelente qualidade. Vale muito o investimento!",PS4 Slim,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Produto chegou antes do prazo, boa qualidade sem nenhum risco dois controles top. Recomendo",PS4 Slim,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Veio muito bem embalado o console e também os controles. Tudo funcionando perfeitamente, assim como o Fifa que veio sem defeito top.",PS4 Slim,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Tudo certinho, funcionando perfeitamente. Veio muito rápido e bem embalado. Só que agora perdi minha televisão kkkkk",PS4 Slim,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Compramos para meu filho e ele gostou muito. Atendendo todas as expectativas. Produto muito bom, entrega no prazo, tudo certo.",PS4 Slim,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Veio muito bem embalado e o envio foi muito rápido! Chegou como novo, sem riscos e sinais de uso. Os controles parecem novos pois estão perfeitos!!! Recomendo de mais.",PS4 Slim,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Emaravilhoso muito bom mesmo chegou Répido colsinha poucas porgées pré duas pessoas e muito répido o cozimento 2u240920 1884 0 produto é pequeno, pensei que fosse maior ,chegou agora, sé falta testar pra verse vale a pena mesmo .O entregador nota 10. © ©",Cozedor de Ovos 3 Andares,Double Date,entrega,entrega,positivo,positivo,lexico,entrega:positivo,True
"Chegou ne prazo certo, velo répido, iguel com o maximo de équa recomendado e nde ficeram bem durinhas as gemas,repetio procedimente para terminar de cozinhar a @: Cae ek bk",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,bertimbau,entrega:positivo,False
"Chegou répido! Produto parece ser de bos qualidade, vou comecar a fazer otratamento com 0 produto. E depois volto pars reavalar. tek kkr Legumes: ainda nao usel Velocidad: coloque ele na tomada pra verse estava funcionando ,epelojeito ele esquenta bem rapido (Qualidade material parece ser bom Eu pensei que a vim branco mais bonito thm 0 rosa, quando eu for usar eu eektoe falo se bom mam, a instrugso kkk velo tudo inglés eno tem que traduzir tudo no ‘vadutor mae » Sa) (* Aen” Legumes: legumes Pelo valor.esté bem ok mas tenham em mente que é meio pequena. material no parece muito resistente mas é s6 culdar bem que val durar sim. ali testei s6 com talos de brécolis cozinhou bem répido.",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
"Chegou tudo certo bem embalado agora vou ter que aprender a usar a instrue3o que ver no ajuda em nada @ ere tek: Entrega répida, uma gracinha ainda no testel mais pode comprar sem medo. ange 22334 tek:",Cozedor de Ovos 3 Andares,Double Date,qualidade,entrega,positivo,positivo,lexico,entrega:positivo,False
"Legumes: Os legumes fiearam bem cozidos e os ovos também Velocidede: 1§ minutos Qualidace: material de boa qualidade Eu queria 8 cor branes, porém como é sortida velo na cor rosa & ‘eianerois362 Legumes: ainda nao testel mae parece bom Velocidade: nao testel Quolidade: ache que era malor comprel de 2 andares e mesmo assim nao deu na altura de um palma na cabe multe verdura mes serve pro que preciso tek:",Cozedor de Ovos 3 Andares,Double Date,qualidade,qualidade,positivo,positivo,lexico,qualidade:positivo,True
Ame a minha compra funciona perfeitamente cozinhel sé aipim ficou muito bom @ entrega fol super répids o vendedor super atencioso ou 0 entregador também 6 tem que ‘agradecer a todos obrigada chegou répido..eu gostel ele cozinha muito bem...coloquel batata doce ...porém achel bem pequeno nio dé para colocar muito coisa dentro... entBo se for par ‘grandes quantidades nao da...mas fora isso é bom e material tom ¢ bem fraquinho de pléstico|,Cozedor de Ovos 3 Andares,Double Date,entrega,entrega,neutro,positivo,lexico,entrega:positivo,False
